px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.4906	8.70447	4.64555	1.17706	0.411162	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.414266
19.7991	8.91325	4.82767	1.10288	0.310026	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.90884
19.8155	9.12434	4.70957	1.16552	0.368044	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.97809
20.0388	9.37826	4.86734	1.1347	0.315259	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.75103
19.9888	9.5799	4.67389	1.22451	0.404628	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	4.33318
20.1155	9.83318	4.75687	1.2295	0.388092	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.535608
20.1632	10.0803	4.77234	1.26373	0.401585	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.18314
20.2005	10.3538	4.81027	1.30633	0.424903	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.92586
20.1567	10.5711	4.70066	1.37812	0.483876	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.59255
20.2963	10.8671	4.85417	1.36788	0.446356	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.90884
20.3092	11.1195	4.85773	1.40631	0.462193	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.98249
20.3299	11.3548	4.84261	1.43661	0.469902	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.020973
20.1723	11.5661	4.67561	1.55698	0.583654	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	8.48656
20.417	11.8597	4.87832	1.47549	0.464846	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.3926
20.4328	12.0933	4.88467	1.49018	0.447735	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	2.97851
20.3905	12.3765	4.91911	1.54454	0.481143	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.21017
20.2593	12.5852	4.79522	1.64352	0.571509	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	2.95058
20.3844	12.859	4.89131	1.6028	0.497218	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.41124
20.3457	13.0824	4.84247	1.64743	0.524239	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.28061
20.2427	13.2686	4.7456	1.71238	0.566271	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0.96298
20.2145	13.5017	4.75727	1.72828	0.546231	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.31011
20.2677	13.7929	4.85202	1.7091	0.495937	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.04322
20.1679	14.0017	4.79336	1.77276	0.543366	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.19364
20.1285	14.266	4.83935	1.79336	0.535913	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.321097
20.0329	14.4817	4.81586	1.83758	0.552322	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.45446
19.8734	14.7125	4.82332	1.91157	0.601461	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.926505
19.8386	14.939	4.82877	1.90407	0.550502	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.56181
19.9009	15.2064	4.86166	1.85676	0.470564	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.4045
19.6554	15.3591	4.75288	2.00646	0.63262	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	8.16914
19.7381	15.609	4.75532	1.94274	0.531325	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	2.85045
19.612	15.7974	4.71993	1.99373	0.559613	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.57792
19.4932	16.0055	4.71979	2.03187	0.570404	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0308226
19.3979	16.2162	4.72256	2.04408	0.544659	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.57645
19.2428	16.3664	4.6622	2.10263	0.578544	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.650523
19.1298	16.565	4.65809	2.12811	0.575114	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.266983
19.0146	16.787	4.68918	2.14684	0.564139	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.181466
18.8189	16.9549	4.68474	2.23469	0.646979	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.04482
18.6807	17.2161	4.78426	2.24522	0.62265	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.00152
18.6464	17.4718	4.79817	2.1823	0.503051	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	4.00328
18.2974	17.5625	4.81565	2.32769	0.63083	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.55709
18.2294	17.8003	4.8183	2.27682	0.525344	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	3.1098
18.146	18.0274	4.8155	2.25782	0.477149	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.442379
17.9146	18.1372	4.78922	2.34522	0.553306	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.36792
17.8026	18.2965	4.73003	2.3514	0.531035	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0.990771
17.7053	18.5117	4.72483	2.33739	0.491127	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	5.7305
17.4749	18.6637	4.76687	2.39336	0.524163	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.669893
17.2738	18.786	4.74943	2.44325	0.551213	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.69185
17.1196	18.9292	4.71455	2.46159	0.541742	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.309019
16.9849	19.1336	4.72643	2.4504	0.501703	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.6307
16.6682	19.1467	4.72606	2.57263	0.605179	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	1.92699
16.5247	19.3472	4.73996	2.55366	0.551853	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.94022
16.3121	19.522	4.80037	2.56907	0.538188	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.921405
16.048	19.556	4.78114	2.64763	0.589494	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	8.82806
15.9043	19.7724	4.79668	2.61287	0.520679	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.96792
15.7325	19.9188	4.76997	2.60378	0.472978	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.48169
15.5146	20.0903	4.82814	2.61017	0.453877	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	0.943819
15.3061	20.2373	4.85351	2.62817	0.454327	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	4.95028
15.1482	20.4109	4.83204	2.61101	0.411873	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	0.359232
14.8621	20.42	4.84585	2.70577	0.496022	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	3.48317
14.6651	20.5664	4.85185	2.70406	0.467578	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.170936
14.4013	20.6161	4.87798	2.76937	0.519889	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.40992
14.1145	20.6288	4.90622	2.84239	0.569995	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.514695
13.8871	20.7126	4.90597	2.86257	0.561213	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.131702
13.5822	20.7243	4.96864	2.93007	0.602758	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	0.920137
13.3332	20.7479	4.96785	2.97578	0.622257	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	0.717237
13.1006	20.8106	4.96323	2.99258	0.60691	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.0428854
12.8975	20.9205	4.93356	2.97825	0.558279	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	2.2898
12.7354	21.0383	4.84776	2.95402	0.503277	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.42861
12.4683	21.0501	4.88994	3.00572	0.538256	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.83428
12.2239	21.0936	4.89806	3.02637	0.53138	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.0382412
11.9782	21.0987	4.9086	3.07036	0.556998	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.998092
11.6921	20.9717	4.93997	3.17145	0.635781	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.197
11.4537	20.9724	4.9156	3.18896	0.613648	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	0.935377
11.2643	21.0328	4.8417	3.1774	0.568955	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.853283
10.9933	20.9514	4.87419	3.23808	0.599638	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	3.87146
10.7915	20.9369	4.81551	3.25923	0.590851	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.60485
10.5575	20.9795	4.77918	3.23995	0.527481	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	4.8969
10.3023	21.0856	4.79489	3.20125	0.457034	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	2.06958
10.0551	21.0384	4.82914	3.24823	0.490964	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	0.959555
9.86453	21.0046	4.75811	3.27416	0.493121	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.08767
9.63825	21.0208	4.72198	3.26688	0.452826	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	0.580862
9.43585	20.9333	4.68775	3.31675	0.482432	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.899933
9.21241	20.8853	4.6933	3.34907	0.496728	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.15919
8.90648	20.8133	4.8135	3.38307	0.505655	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.53324
8.68672	20.7171	4.80242	3.42512	0.522582	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.45347
8.38755	20.5459	4.94006	3.49854	0.572248	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.17229
8.16769	20.4978	4.89757	3.5031	0.542861	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.299569
7.92702	20.4304	4.90752	3.51838	0.529988	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.136588
7.71534	20.3618	4.89522	3.54115	0.532787	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.36229
7.40924	20.3318	4.97662	3.52718	0.488249	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.51655
7.17788	20.2335	4.97351	3.5496	0.4836	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.253286
6.91486	20.1621	5.00737	3.55543	0.463525	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.65981
6.69356	20.0852	4.98087	3.56644	0.45012	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.306278
6.44682	19.9995	4.99855	3.57709	0.437196	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.225399
6.23464	19.9202	4.97727	3.5925	0.435214	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.40053
5.97071	19.8231	5.02463	3.60195	0.421596	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.745104
5.73576	19.6168	5.12461	3.66933	0.476884	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.94612
5.56347	19.5328	5.02807	3.67938	0.46275	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.15669
5.36115	19.357	5.04685	3.72412	0.485933	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.78345
5.15133	19.3407	4.94911	3.69364	0.427522	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	0.999089
4.96271	19.2525	4.88591	3.69944	0.41074	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	3.22367
